"filename", "language", "vue", "TypeScript", "comment", "blank", "total"
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input\Input.vue", "vue", 29, 0, 0, 5, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input\index.ts", "TypeScript", 0, 1, 0, 1, 2
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\label\Label.vue", "vue", 23, 0, 0, 4, 27
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\label\index.ts", "TypeScript", 0, 1, 0, 1, 2
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\Pagination.vue", "vue", 23, 0, 0, 4, 27
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationContent.vue", "vue", 19, 0, 0, 4, 23
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationEllipsis.vue", "vue", 22, 0, 0, 4, 26
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationFirst.vue", "vue", 30, 0, 0, 4, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationItem.vue", "vue", 31, 0, 0, 4, 35
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationLast.vue", "vue", 30, 0, 0, 4, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationNext.vue", "vue", 30, 0, 0, 4, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationPrevious.vue", "vue", 30, 0, 0, 4, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\index.ts", "TypeScript", 0, 8, 0, 1, 9
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\Select.vue", "vue", 15, 0, 0, 4, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectContent.vue", "vue", 46, 0, 0, 7, 53
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectGroup.vue", "vue", 13, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectItem.vue", "vue", 37, 0, 0, 7, 44
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectItemText.vue", "vue", 13, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectLabel.vue", "vue", 15, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectScrollDownButton.vue", "vue", 22, 0, 0, 5, 27
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectScrollUpButton.vue", "vue", 22, 0, 0, 5, 27
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectSeparator.vue", "vue", 16, 0, 0, 4, 20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectTrigger.vue", "vue", 30, 0, 0, 4, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectValue.vue", "vue", 13, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\index.ts", "TypeScript", 0, 11, 0, 1, 12
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\separator\Separator.vue", "vue", 26, 0, 0, 4, 30
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\separator\index.ts", "TypeScript", 0, 1, 0, 1, 2
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sheet\Sheet.vue", "vue", 16, 0, 0, 4, 20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sheet\SheetClose.vue", "vue", 13, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sheet\SheetContent.vue", "vue", 55, 0, 0, 8, 63
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sheet\SheetDescription.vue", "vue", 18, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sheet\SheetFooter.vue", "vue", 14, 0, 0, 3, 17
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sheet\SheetHeader.vue", "vue", 13, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sheet\SheetOverlay.vue", "vue", 18, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sheet\SheetTitle.vue", "vue", 18, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sheet\SheetTrigger.vue", "vue", 13, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sheet\index.ts", "TypeScript", 0, 8, 0, 1, 9
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\Sidebar.vue", "vue", 89, 0, 1, 7, 97
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarContent.vue", "vue", 16, 0, 0, 3, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarFooter.vue", "vue", 16, 0, 0, 3, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarGroup.vue", "vue", 16, 0, 0, 3, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarGroupAction.vue", "vue", 25, 0, 0, 3, 28
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarGroupContent.vue", "vue", 16, 0, 0, 3, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarGroupLabel.vue", "vue", 23, 0, 0, 3, 26
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarHeader.vue", "vue", 16, 0, 0, 3, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarInput.vue", "vue", 20, 0, 0, 3, 23
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarInset.vue", "vue", 19, 0, 0, 3, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarMenu.vue", "vue", 16, 0, 0, 3, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarMenuAction.vue", "vue", 33, 0, 0, 3, 36
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarMenuBadge.vue", "vue", 24, 0, 0, 3, 27
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarMenuButton.vue", "vue", 42, 0, 0, 7, 49
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarMenuButtonChild.vue", "vue", 33, 0, 0, 4, 37
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarMenuItem.vue", "vue", 16, 0, 0, 3, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarMenuSkeleton.vue", "vue", 31, 0, 0, 5, 36
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarMenuSub.vue", "vue", 20, 0, 0, 3, 23
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarMenuSubButton.vue", "vue", 34, 0, 0, 3, 37
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarMenuSubItem.vue", "vue", 16, 0, 0, 3, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarProvider.vue", "vue", 70, 0, 0, 13, 83
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarRail.vue", "vue", 30, 0, 0, 4, 34
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarSeparator.vue", "vue", 17, 0, 0, 3, 20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\SidebarTrigger.vue", "vue", 24, 0, 0, 4, 28
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\index.ts", "TypeScript", 0, 55, 0, 6, 61
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sidebar\utils.ts", "TypeScript", 0, 17, 0, 3, 20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\skeleton\Skeleton.vue", "vue", 14, 0, 0, 4, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\skeleton\index.ts", "TypeScript", 0, 1, 0, 1, 2
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sonner\Sonner.vue", "vue", 16, 0, 0, 4, 20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\sonner\index.ts", "TypeScript", 0, 1, 0, 1, 2
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\table\Table.vue", "vue", 14, 0, 0, 3, 17
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\table\TableBody.vue", "vue", 15, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\table\TableCaption.vue", "vue", 15, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\table\TableCell.vue", "vue", 20, 0, 0, 3, 23
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\table\TableEmpty.vue", "vue", 31, 0, 0, 4, 35
